time,timestamp,actionEye,actionUpperFace,powerUpperFace,actionLowerFace,powerLowerFace
1722054291.9449,2024-07-26 21:24:51.944,neutral,frown,0.95,clench,0.8
1722054291.9762,2024-07-26 21:24:51.976,neutral,frown,0.95,clench,0.8
1722054292.0074,2024-07-26 21:24:52.007,neutral,frown,0.95,clench,0.8
1722054292.0387,2024-07-26 21:24:52.038,neutral,frown,0.95,clench,0.8
1722054292.0699,2024-07-26 21:24:52.069,neutral,frown,0.95,clench,0.8
1722054292.1012,2024-07-26 21:24:52.101,neutral,frown,0.95,clench,0.8
1722054292.1324,2024-07-26 21:24:52.132,neutral,frown,0.95,clench,0.8
1722054292.1637,2024-07-26 21:24:52.163,neutral,frown,0.95,clench,0.8
1722054292.1949,2024-07-26 21:24:52.194,neutral,frown,0.95,clench,0.8
1722054292.2262,2024-07-26 21:24:52.226,neutral,frown,0.95,clench,0.8
1722054292.2574,2024-07-26 21:24:52.257,neutral,frown,0.95,clench,0.8
1722054292.2887,2024-07-26 21:24:52.288,neutral,frown,0.95,clench,0.8
1722054292.3199,2024-07-26 21:24:52.319,neutral,frown,0.95,clench,0.8
1722054292.3512,2024-07-26 21:24:52.351,neutral,frown,0.95,clench,0.8
1722054292.3824,2024-07-26 21:24:52.382,neutral,frown,0.95,clench,0.8
1722054292.4137,2024-07-26 21:24:52.413,neutral,frown,0.95,clench,0.8
1722054292.4449,2024-07-26 21:24:52.444,neutral,frown,0.95,clench,0.8
1722054292.4762,2024-07-26 21:24:52.476,neutral,frown,0.95,clench,0.8
1722054292.5074,2024-07-26 21:24:52.507,neutral,frown,0.95,clench,0.8
1722054292.5387,2024-07-26 21:24:52.538,neutral,frown,0.95,clench,0.8
1722054292.5699,2024-07-26 21:24:52.569,neutral,frown,0.95,clench,0.8
1722054292.6012,2024-07-26 21:24:52.601,neutral,frown,0.95,clench,0.8
1722054292.6324,2024-07-26 21:24:52.632,neutral,frown,0.95,clench,0.8
1722054292.6637,2024-07-26 21:24:52.663,neutral,frown,0.95,clench,0.8
1722054292.6949,2024-07-26 21:24:52.694,neutral,frown,0.95,clench,0.8
1722054292.7262,2024-07-26 21:24:52.726,neutral,frown,0.95,clench,0.8
1722054292.7574,2024-07-26 21:24:52.757,neutral,frown,0.95,clench,0.8
1722054292.7887,2024-07-26 21:24:52.788,neutral,frown,0.95,clench,0.8
1722054292.8199,2024-07-26 21:24:52.819,neutral,frown,0.95,clench,0.8
1722054292.8512,2024-07-26 21:24:52.851,neutral,frown,0.95,clench,0.8
1722054292.8824,2024-07-26 21:24:52.882,neutral,frown,0.95,clench,0.8
1722054292.9137,2024-07-26 21:24:52.913,neutral,frown,0.95,clench,0.8
1722054292.9449,2024-07-26 21:24:52.944,neutral,frown,0.95,clench,0.8
1722054292.9762,2024-07-26 21:24:52.976,neutral,frown,0.95,clench,0.8
