Time,Timestamp,Counter,Interpolated,Contact Quality,AF3,T7,Pz,T8,AF4
1722050306.9096,2024-07-26 20:18:26.909,4,false,0.0,4465.0, 4383.846, 4105.385, 4164.103, 4473.077
1722050306.9174,2024-07-26 20:18:26.917,5,false,0.0,4474.103, 4392.051, 4116.282, 4171.154, 4486.667
1722050306.9252,2024-07-26 20:18:26.925,6,false,0.0,4504.359, 4395.385, 4128.205, 4179.359, 4499.615
1722050306.933,2024-07-26 20:18:26.933,7,false,0.0,4521.923, 4373.974, 4124.487, 4173.461, 4499.744
1722050306.9409,2024-07-26 20:18:26.940,8,false,0.0,4510.513, 4352.436, 4111.795, 4161.41, 4488.205
1722050306.9487,2024-07-26 20:18:26.948,9,false,0.0,4509.103, 4365.897, 4110.769, 4158.718, 4486.026
1722050306.9565,2024-07-26 20:18:26.956,10,false,0.0,4526.026, 4396.41, 4124.359, 4174.359, 4494.872
1722050306.9643,2024-07-26 20:18:26.964,11,false,0.0,4529.615, 4418.846, 4133.077, 4189.231, 4490.128
1722050306.9721,2024-07-26 20:18:26.972,12,false,0.0,4509.103, 4413.333, 4120.256, 4175.769, 4462.051
1722050306.9799,2024-07-26 20:18:26.979,13,false,0.0,4482.051, 4383.205, 4105.385, 4159.872, 4434.744
1722050306.9877,2024-07-26 20:18:26.987,14,false,0.0,4471.923, 4382.949, 4112.436, 4174.103, 4430.128
1722050306.9955,2024-07-26 20:18:26.995,15,false,0.0,4478.974, 4407.564, 4117.949, 4187.051, 4431.923
1722050307.0034,2024-07-26 20:18:27.003,16,false,0.0,4473.718, 4388.718, 4101.795, 4173.205, 4413.718
1722050307.0112,2024-07-26 20:18:27.011,17,false,0.0,4451.41, 4359.231, 4093.718, 4160.385, 4386.154
1722050307.019,2024-07-26 20:18:27.019,18,false,0.0,4439.103, 4379.359, 4104.872, 4164.615, 4377.308
1722050307.0268,2024-07-26 20:18:27.026,19,false,0.0,4434.231, 4397.18, 4111.154, 4173.974, 4378.077
1722050307.0346,2024-07-26 20:18:27.034,20,false,0.0,4418.59, 4387.18, 4112.308, 4182.308, 4363.846
1722050307.0424,2024-07-26 20:18:27.042,21,false,0.0,4400.897, 4390.128, 4113.205, 4182.564, 4340.897
1722050307.0502,2024-07-26 20:18:27.050,22,false,0.0,4385.897, 4385.128, 4101.667, 4172.051, 4321.923
1722050307.058,2024-07-26 20:18:27.058,23,false,0.0,4372.82, 4369.744, 4091.154, 4167.564, 4311.282
1722050307.0659,2024-07-26 20:18:27.065,24,false,0.0,4371.026, 4388.846, 4098.59, 4177.82, 4316.154
1722050307.0737,2024-07-26 20:18:27.073,25,false,0.0,4366.539, 4398.59, 4102.82, 4184.744, 4320.0
1722050307.0815,2024-07-26 20:18:27.081,26,false,0.0,4344.615, 4366.282, 4095.128, 4174.359, 4298.974
1722050307.0893,2024-07-26 20:18:27.089,27,false,0.0,4324.872, 4362.308, 4095.769, 4159.231, 4271.923
1722050307.0971,2024-07-26 20:18:27.097,28,false,0.0,4315.256, 4388.077, 4105.897, 4156.41, 4263.846
1722050307.1049,2024-07-26 20:18:27.104,29,false,0.0,4306.923, 4387.308, 4114.744, 4166.539, 4266.026
1722050307.1127,2024-07-26 20:18:27.112,30,false,0.0,4302.82, 4381.41, 4118.718, 4177.051, 4267.82
1722050307.1205,2024-07-26 20:18:27.120,31,false,0.0,4295.256, 4384.487, 4111.539, 4176.154, 4264.103
1722050307.1284,2024-07-26 20:18:27.128,32,false,0.0,4280.385, 4375.385, 4104.359, 4169.103, 4252.949
1722050307.1362,2024-07-26 20:18:27.136,33,false,0.0,4278.974, 4371.41, 4113.205, 4169.615, 4249.615
1722050307.144,2024-07-26 20:18:27.144,34,false,0.0,4287.18, 4368.461, 4117.82, 4174.872, 4255.769
1722050307.1518,2024-07-26 20:18:27.151,35,false,0.0,4280.897, 4345.256, 4100.0, 4169.744, 4248.974
1722050307.1596,2024-07-26 20:18:27.159,36,false,0.0,4266.795, 4336.282, 4084.872, 4159.359, 4232.564
1722050307.1674,2024-07-26 20:18:27.167,37,false,0.0,4261.282, 4357.308, 4093.718, 4165.128, 4234.231
